[ 0.0446, 0.0940, 0.1373, 0.1425, 0.1435, 0.1138, 0.2581, 0.3691, 0.4020, 0.3220, 0.2912, 0.3736, 0.6354, 1.0239, 1.3619, 1.3223, 1.1951, 0.8804, 0.7050, 0.5344, 0.4131, 0.1998, 0.0072,   -0.0411,   -0.1466,   -0.1659,   -0.0788,   -0.0494]
[   0.1636, 0.1324, 0.0766, 0.0593, 0.0980, 0.0825, 0.2113, 0.2429, 0.2882, 0.2402, 0.2631, 0.1551, 0.1923, 0.3801, 0.4602, 0.5387, 0.7077, 0.8585, 1.0035, 0.9711, 0.8873, 0.7647, 0.5998, 0.3790, 0.2889, 0.3895, 0.4385, 0.3478]
[   0.2136, 0.2815, 0.4158, 0.5617, 0.5535, 0.5281, 0.4820, 0.5313, 0.4453, 0.4169, 0.4070, 0.3072, 0.3377, 0.4130, 0.5167, 0.6239, 0.8869, 1.0389, 1.1357, 1.0909, 0.9312, 0.7392, 0.4916, 0.2838, 0.1444, 0.1022, 0.1771, 0.2582]
[   0.1593, 0.0913, 0.0708, 0.1195, 0.1612, 0.1675, 0.1763, 0.2506, 0.3312, 0.3998, 0.4222, 0.4303, 0.4373, 0.4428, 0.4530, 0.4906, 0.6844, 0.9004, 1.0529, 1.1012, 0.8239, 0.7107, 0.6327, 0.5654, 0.4546, 0.2831, 0.2569, 0.2339]
[   0.1216, 0.1899, 0.2195, 0.2390, 0.1554, 0.3662, 0.6139, 0.7493, 0.7555, 0.6721, 0.5686, 0.5531, 0.6668, 1.1508, 1.8735, 2.2836, 2.3646, 2.3263, 2.0934, 1.7842, 1.3856, 1.1178, 0.8790, 0.7642, 0.6310, 0.4610, 0.3686, 0.3932]
[   0.2286, 0.3276, 0.4465, 0.4331, 0.4389, 0.4495, 0.3817, 0.3174, 0.3171, 0.5401, 0.6484, 0.6980, 0.8248, 1.1930, 1.6147, 1.9108, 2.0708, 2.0977, 1.8560, 1.5455, 1.1646, 0.9368, 0.7401, 0.6267, 0.4735, 0.3160, 0.1753, 0.1329]
[  -0.2308, 0.0430, 0.2834, 0.4520, 0.3568, 0.2795, 0.2723, 0.2804, 0.3193, 0.3544, 0.4240, 0.6077, 0.8210, 1.2388, 1.6095, 1.5710, 1.2235, 0.8082, 0.5470, 0.3588, 0.3490, 0.2642, 0.1805, 0.1225, 0.1791, 0.2722, 0.3380, 0.3066]
[ -0.4602 ,  -0.3868 ,  -0.2702,   -0.1659, 0.0480, 0.1563, 0.1931, 0.2311, 0.2474, 0.2291, 0.2593, 0.3803, 0.4615, 0.7922, 1.3891, 1.6691, 1.8085, 1.8185, 1.7116, 1.5464, 1.2176, 0.8588, 0.5957, 0.3872, 0.3559, 0.2859, 0.1408, 0.0467]
[   0.0454, 0.2185, 0.4159, 0.6189, 0.6510, 0.5535, 0.5157, 0.4641, 0.5851, 1.0148, 1.4519, 1.7610, 1.7508, 1.3867, 1.0994, 0.9909, 0.7126, 0.3879, 0.1251, 0.1048, 0.1199, 0.1342, 0.0601, 0.0695, 0.1332, 0.0895 ,  -0.0758 ,  -0.1210]
[   0.5487, 0.6268, 0.6235, 0.6129, 0.5130, 0.3668, 0.3849, 0.4658, 0.6349, 0.7913, 1.0486, 1.3530, 1.5190, 1.5810, 1.3329, 1.1494, 0.8839, 0.4512, 0.2262, 0.1190, 0.0329, 0.0854, 0.0456 ,  -0.0428, 0.0788, 0.2731, 0.2996, 0.1151]
[0.1484, 0.1380, 0.0643, 0.0723, 0.1216, 0.1241, 0.1941, 0.2234, 0.3391, 0.3811, 0.4529, 0.5713, 0.6766, 1.0933, 2.0370, 2.7136, 2.9383, 2.7448, 2.1575, 1.5227, 1.1207, 0.8901, 0.6101, 0.4647, 0.3753, 0.2929, 0.3613, 0.3938]
